Date,a_temp
1,-0.17
2,-0.23
3,-0.08
4,-0.15
5,-0.09
6,-0.2
7,-0.17
8,-0.09
9,-0.14
10,-0.22
11,-0.21
12,-0.17
13,-0.18
14,-0.13
15,0.04
16,0.06
17,0.07
18,-0.18
19,0.01
20,-0.02
21,-0.14
22,-0.2
23,-0.17
24,-0.06
25,0.18
26,0.15
27,0.06
28,-0.15
29,-0.13
30,-0.21
31,-0.15
32,-0.06
33,-0.13
34,-0.23
35,-0.15
36,-0.35
37,-0.28
38,-0.35
39,-0.11
40,-0.18
41,-0.17
42,-0.06
43,-0.07
44,-0.13
45,-0.21
46,-0.1
47,-0.23
48,-0.1
49,-0.12
50,-0.08
51,-0.36
52,-0.39
53,-0.34
54,-0.34
55,-0.32
56,-0.27
57,-0.27
58,-0.24
59,-0.32
60,-0.3
61,-0.58
62,-0.32
63,-0.25
64,-0.41
65,-0.44
66,-0.43
67,-0.32
68,-0.3
69,-0.27
70,-0.22
71,-0.23
72,-0.09
73,-0.42
74,-0.49
75,-0.42
76,-0.27
77,-0.23
78,-0.34
79,-0.17
80,-0.3
81,-0.23
82,-0.27
83,-0.26
84,-0.24
85,-0.71
86,-0.56
87,-0.35
88,-0.33
89,-0.29
90,-0.23
91,-0.25
92,-0.34
93,-0.24
94,-0.34
95,-0.25
96,-0.32
97,-0.33
98,-0.34
99,-0.4
100,-0.19
101,-0.21
102,-0.16
103,-0.09
104,-0.14
105,-0.11
106,0.02
107,0.04
108,-0.04
109,-0.08
110,0.18
111,0.07
112,0.1
113,0
114,-0.09
115,-0.07
116,-0.19
117,-0.23
118,-0.25
119,-0.33
120,-0.29
121,-0.41
122,-0.45
123,-0.4
124,-0.29
125,-0.39
126,-0.24
127,-0.27
128,-0.38
129,-0.36
130,-0.24
131,-0.43
132,-0.3
133,-0.33
134,-0.46
135,-0.17
136,-0.26
137,-0.16
138,-0.2
139,-0.17
140,-0.16
141,-0.15
142,-0.21
143,-0.31
144,-0.04
145,-0.28
146,-0.1
147,-0.39
148,-0.33
149,-0.23
150,-0.21
151,-0.31
152,-0.26
153,-0.16
154,-0.13
155,-0.41
156,-0.37
157,-0.8
158,-0.55
159,-0.21
160,-0.27
161,-0.33
162,-0.25
163,-0.14
164,-0.24
165,-0.22
166,-0.18
167,-0.18
168,-0.32
169,-0.51
170,-0.28
171,-0.22
172,-0.44
173,-0.3
174,-0.39
175,-0.23
176,-0.23
177,-0.27
178,-0.22
179,-0.25
180,-0.2
181,-0.39
182,-0.41
183,-0.31
184,-0.2
185,-0.26
186,-0.2
187,-0.16
188,-0.16
189,-0.12
190,-0.1
191,-0.16
192,-0.13
193,-0.21
194,-0.12
195,-0.25
196,-0.29
197,-0.15
198,-0.1
199,-0.02
200,-0.04
201,-0.06
202,0.08
203,-0.03
204,-0.04
205,-0.14
206,-0.16
207,-0.13
208,-0.02
209,-0.01
210,-0.11
211,-0.02
212,-0.09
213,-0.08
214,-0.12
215,-0.17
216,-0.19
217,-0.01
218,-0.28
219,-0.49
220,-0.29
221,-0.29
222,-0.18
223,-0.21
224,-0.25
225,-0.2
226,-0.33
227,-0.37
228,-0.22
229,-0.16
230,-0.38
231,-0.35
232,-0.2
233,-0.23
234,-0.31
235,-0.15
236,-0.08
237,-0.05
238,-0.04
239,0.13
240,-0.25
241,-0.35
242,-0.04
243,0.02
244,-0.08
245,-0.08
246,-0.09
247,-0.12
248,-0.08
249,-0.05
250,0.1
251,-0.06
252,-0.06
253,-0.21
254,-0.1
255,0.06
